Date	Avg NO2	AVG  NO	AVG SO2	AVG CO2	AVG PM2.5
1-Jan-11	22.95833333	6.320833333	0.929166667	20.7	17
2-Jan-11	28.24583333	8.695833333	0.5	13.5	8.9
3-Jan-11	45.925	31.575	0.979166667	23.1	18
4-Jan-11	27.37916667	11.75833333	0.404166667	10.8	9.3
5-Jan-11	24	16.56086957	0.659090909	13.8	10.1
6-Jan-11	62.6	113.4791667	0.845833333	37.4	32
7-Jan-11	50.9375	62.44583333	21.75	28.6	19.7
8-Jan-11	19.93333333	8.666666667	22	9.6	10.1
9-Jan-11	27.8125	13.0375	23	13.5	12
10-Jan-11	48.35416667	37.0625	0.295833333	13.5	11.6
11-Jan-11	34.55	25.77916667	0.1125	11.1	11.4
12-Jan-11	36.79583333	21.44583333	0.145833333	11	6.5
13-Jan-11	36.94583333	24.27083333	0.2	36.3	12.6
14-Jan-11	18.92083333	8.975	0.004166667	14.6	9.3
15-Jan-11	5.683333333	2.9625	0.0125	7.2	2.8
16-Jan-11	12.875	4.5625	0.008333333	15.6	5.69
17-Jan-11	54.77916667	98.725	0.766666667	29.4	18.6
18-Jan-11	43.95909091	45.29545455	0.281818182	22.5	16.4
19-Jan-11	0.9	0.3	2.8875	55	50.8
20-Jan-11	0.9	0.43	4.6	96.9	86.5
21-Jan-11	74.70416667	0.19	2.375	58.3	54.7
22-Jan-11	52.3875	0.8	1.491666667	45.1	41.7
23-Jan-11	34.10416667	35.10416667	0.466666667	27.8	29.2
24-Jan-11	28.8375	23.7125	0.233333333	17.1	17.4
25-Jan-11	24.87916667	14.29583333	0.116666667	11	6.4
26-Jan-11	19.81666667	3.7125	0.0125	15.7	8.6
27-Jan-11	39.39166667	15.6875	0.354166667	16.3	7.9
28-Jan-11	47.18333333	23.32916667	1.683333333	21.7	17.4
29-Jan-11	34.62083333	7.616666667	1.2875	19.2	15.3
30-Jan-11	43.39583333	50.8375	1.133333333	32.4	32.4
31-Jan-11	60.82916667	250.6125	3.7875	34	33.6
					
